stelle,zeichen_code,zeichen_original,position,bedeutung,normen,verwendung_ende
BPatG,Ni,Ni ,hauptzeichen,Patentnichtigkeitsverfahren ,NA,NA
BPatG,W-pat,W (pat) ,hauptzeichen,"Beschwerdeverfahren in Patentsachen, Gebrauchsmustersachen, Sortenschutzsachen, Markensachen",NA,NA
BPatG,ZA-pat,ZA (pat) ,hauptzeichen,Verfahren über Anträge außerhalb anhängiger Patentsachen,NA,NA
BAG,ABN ,ABN ,hauptzeichen,Nichtzulassung der Rechtsbeschwerde,§ 92a ArbGG,NA
BAG,ABR ,ABR ,hauptzeichen,Rechtsbeschwerde,§§ 92 ff ArbGG,NA
BAG,ABV ,ABV ,hauptzeichen,Erstinstanzliche Beschlussverfahren aufgrund SGB IX im Geschäftsbereich des Bundesnachrichtendienstes,NA,NA
BAG,ACA ,ACA ,hauptzeichen,Erstinstanzliche Urteilsverfahren aufgrund SGB IX im Geschäftsbereich des Bundesnachrichtendienstes,NA,NA
BAG,AS ,AS ,hauptzeichen,Sonderverfahren,NA,NA
BAG,AZA ,AZA ,hauptzeichen,Prozesskostenhilfe außerhalb anhängiger Verfahren,NA,NA
BAG,AZB ,AZB ,hauptzeichen,Sofortige Beschwerde wegen verspäteter Absetzung des Berufungsurteils; Revisionsbeschwerde; Rechtsbeschwerde,§ 72b ArbGG; § 77 ArbGG; § 78 ArbGG,NA
BAG,AZM ,AZM ,hauptzeichen,Nichtzulassung der Revisionsbeschwerde,§§ 77 Satz 2 ArbGG,NA
BAG,AZN ,AZN ,hauptzeichen,Nichtzulassung der Revision,§ 72a ArbGG,NA
BAG,AZR ,AZR ,hauptzeichen,Revisionen in Urteilsverfahren,§ 72 ArbGG,NA
BAG,E ,E ,hauptzeichen,Klagen gegen den Bund,§ 201 GVG; § 9 II ArbGG,NA
BAG,GS ,GS ,hauptzeichen,Großer Senat des Bundesarbeitsgerichts,NA,NA
BFH,AR,AR,hauptzeichen,Allgemeines Register: Vorverfahren oder sonstige Verfahrensarten,NA,NA
BFH,B,B,hauptzeichen,Beschwerden; Nichtzulassungsbeschwerden,§ 36 Nr.2 FGO; § 116 FGO,NA
BFH,E,E,hauptzeichen,"Erinnerung zu Kosten und Streitwert, Erinnerung in Kostenfestsetzungsverfahren",NA,NA
BFH,GrS,GrS,hauptzeichen,Großer Senat,§ 11 FGO,NA
BFH,K,K,hauptzeichen,Entschädigungsklagen wegen überlanger Verfahrensdauer,§ 201 GVG,NA
BFH,PKH,PKH,hauptzeichen,Prozesskostenhilfe,NA,NA
BFH,R,R,hauptzeichen,Revision,§ 36 Nr.1 FGO,NA
BFH,S,S,hauptzeichen,Sonstige Verfahren,NA,NA
BSG,A,A,hauptzeichen,Aufsichtsrecht,§§ 83 ff SGB IV,NA
BSG,AB,AB,hauptzeichen,Ablehnung von Gerichtspersonen,§ 60 SGG,NA
BSG,AL,AL,hauptzeichen,Arbeitslosenversicherung und übrige Aufgaben der Bundesagentur für Arbeit,NA,NA
BSG,AR ,AR ,zusatz,Allgemeines Register: Vorverfahren oder sonstige Verfahrensarten,NA,NA
BSG,AS,AS,hauptzeichen,Grundsicherung für Arbeitsuchende,NA,NA
BSG,AY,AY,hauptzeichen,Leistungen nach dem Asylbewerberleistungsgesetz,NA,NA
BSG,B,B,zusatz,Beschwerderegister,NA,NA
BSG,BH,BH,hauptzeichen,Anträge außerhalb eines anhängigen Beschwerdeverfahrens,NA,NA
BSG,BK,BK,hauptzeichen,Kinderzuschlag,NA,NA
BSG,BL,BL,hauptzeichen,Blindengeld beziehungsweise Blindenhilfe,NA,NA
BSG,C,C,zusatz,Register für Anhörungsrügen,NA,NA
BSG,D,D,zusatz,Register für Sofortige Beschwerden,NA,NA
BSG,E,E,hauptzeichen,"Erinnerungen gegen einen Kostenfestsetzungsbeschluss, gegen den Kostenansatz, gegen die Festsetzung der Rechtsanwaltsvergütung einschließlich der PKH-Vergütung",NA,NA
BSG,EG,EG,hauptzeichen,Elterngeld und Erziehungsgeld (früher auch Betreuungsgeld) ,NA,NA
BSG,EH,EH,hauptzeichen,Angelegenheiten des Entwicklungshelfergesetzes,NA,NA
BSG,ER,ER,hauptzeichen,Einstweiliger Rechtsschutz,NA,NA
BSG,GR,GR,hauptzeichen,Verfahren vor dem Güterichter ,§ 202 S.1 SGG; § 278 V ZPO,NA
BSG,GS,GS,zusatz,Großer Senat,NA,NA
BSG,K,K,hauptzeichen,Klage,NA,NA
BSG,KA,KA,hauptzeichen,Vertragsarztrecht beziehungsweise Vertragszahnarztrecht,NA,NA
BSG,KG,KG,hauptzeichen,Kindergeld nach dem Kindergeldgesetz,NA,NA
BSG,KL,KL,zusatz,Klageregister,NA,NA
BSG,KLH,KLH,zusatz,Anträge außerhalb eines anhängigen Klageverfahrens,NA,NA
BSG,KN,KN,hauptzeichen,Knappschaftliche Streitigkeiten,NA,2008-07-31
BSG,KR,KR,hauptzeichen,Gesetzliche Krankenversicherung,NA,NA
BSG,KS,KS,hauptzeichen,Künstlersozialversicherung,NA,NA
